ContractReference	EYAtBSD	AmortizedAPAtBSD	UnamortizedAPAtBSD	AdditionalPaymentID	AsOfAmortizationAdjustment	AsOfAmortizationAdjustmentDate	IASError	ImpairmentEffectiveDate	ImpairmentBucket	ImpairmentApproach	12mEL	LifetimeEL	LossAllowance
SYCTIBOE_BINTG_00001_I65346				SYCTIBX0			No lines in the facility	<EMPTY>					
SYCTIBOE_BINTG_LOCOM_I65346				SYCTIBXP			No lines in the facility	<EMPTY>					
SYCTIBPJ_BINTG_00001_I65346				SYCTICNF			Matured product	<EMPTY>					
SYCTIE9G_BINTG_00001_I65346				SYCTIG3J			Matured product	<EMPTY>					
SYCTIE9G_BINTG_00001_I65346				SYCTIEPD			No lines in the facility	<EMPTY>					
SYCTIE9G_BINTG_00002_I65346				SYCTIG3L			Matured product	<EMPTY>					
SYCTIE9G_BINTG_LOCOM_I65346				SYCTIG3K			Matured product	<EMPTY>					
SYCTIE9G_BINTG_LOCOM_I65346				SYCTIEPJ			No lines in the facility	<EMPTY>					
SYCTIEAL_BINTG_00001_I65346				SYCTIFPP			Matured product	<EMPTY>					
SYCTIEAL_BINTG_00001_I65346				SYCTIEPU			No lines in the facility	<EMPTY>					
TACUDQJE_BINTG_00001_I65346	8.584090769738886	5.896631101444655	1742.698189999093300	TACUDQV1				<EMPTY>					
TACUDQ7A_BINTG_00001_I65346	8.584090769738886	5.886743840128474	1742.547125845099800	TACUDQEE				<EMPTY>					
U!CHMX6B_BINTG_00001_I65346				CRCS639H			Matured product	<EMPTY>					
F#CJ66RR_BINTG_00001_I65346	12.356568301126002	26.629632953363398	6457.376200610729900	F#CJ67E5				<EMPTY>					
U+CI1P4P_BINTG_00001_I65346	10.880426629398867	51.794573125138413	10386.686067061630000	U+CI1PIG				<EMPTY>					
U+CI1P8C_BINTG_00001_I65346	7.231830438038661	-13.813357368853758	-7851.304377321706900	(JCRUP7B				<EMPTY>					
U+CI1P8C_BINTG_00001_I65346	7.231370906950098	-13.929686835777829	-7862.560781809093900	U+CI1PIJ				<EMPTY>					
U+CI1PAR_BINTG_00001_I65346	5.892944923315814	-378.228369581323930	40449.450570349320000	FPCI4Z6L				<EMPTY>					
U+CI1PCG_BINTG_00001_I65346				FPCI4ZAG			No lines in the facility	<EMPTY>					
U+CI1PCG_BINTG_00001_I65346				U+CI1PIP			No lines in the facility	<EMPTY>					
F#CJ633H_BINTG_00001_I65346	8.688216422091914	26.460550298914313	6697.200144283473500	F#CJ63K6				<EMPTY>					
F#CJ63LM_BINTG_00001_I65346	7.524357377092740	-27.113045240565953	-6393.280614087917500	F#CJ642D				<EMPTY>					
U+CI1PE2_BINTG_00001_I65346	6.458472690481952	-286.862759518640810	30555.257596749230000	FPCI57BE				<EMPTY>					
U+CI1PE2_BINTG_00001_I65346	6.530547968564522	-250.378393716382560	45682.824896145030000	FPCI57QP				<EMPTY>					
F#CJ64QR_BINTG_00001_I65346	9.000945748583193	64.110168498894382	1344.926645655208200	F#CJ65MB				<EMPTY>					
F#CJ64QR_BINTG_00001_I65346	6.780315060575176	9.978811675519864	-11447.191796013594000	F#CJ65PK				<EMPTY>					
U+CI1PU9_BINTG_00001_I65346		13.812154696133803	-1850.828729281754900	FCCIRA2T			<20150813>:PureEY@OD: Unable to compute IRR	<EMPTY>					
U+CI1PVC_BINTG_00001_I65346		-13.679890560877539	1833.105335157335500	U+CI2ZP3			<20150813>:PureEY@OD: Unable to compute IRR	<EMPTY>					
U+CI1PWF_BINTG_00001_I65346		13.679890560875776	-1833.105335157318900	U+CI2ZP6			<20150813>:PureEY@OD: Unable to compute IRR	<EMPTY>					
F#CJ5XNX_BINTG_00001_I65346	6.728599064450064	64.940537242666323	735.494126214460270	F#CJ5Y84				<EMPTY>					
F#CJ5XNX_BINTG_00001_I65346	6.215155159124807	-67.156024803891341	-720.569657056777940	F#CJ5YBD				<EMPTY>					
F#CJ5YCJ_BINTG_00001_I65346	11.076852047678805	60.530525852362643	671.228300482798890	F#CJ5YVW				<EMPTY>					
U+CI1PXI_BINTG_00001_I65346		-4261.403492480982100	82925.862054633559000	FCCIRAXA			No valid IAS Results found for previous state	<EMPTY>					
U+CI1PYL_BINTG_00001_I65346		13.661202185794536	-1830.601092896198700	FCCIRBTR			<20150813>:PureEY@OD: Unable to compute IRR	<EMPTY>					
U+CI1PYL_BINTG_00001_I65346		-13.661202185794536	1830.601092896155000	FCCIRBXU			<20150813>:PureEY@OD: Unable to compute IRR	<EMPTY>					
U+CI1PZO_BINTG_00001_I65346		-9.090909090908099	1218.181818181834400	FCCIRCCQ			<20150813>:PureEY@OD: Unable to compute IRR	<EMPTY>					
F#CJ65QZ_BINTG_00001_I65346	3.590871086755490	-45.236051517231544	62.306475195651842	F#CJ66HD				<EMPTY>					
F#CJ65QZ_BINTG_00001_I65346	6.584287938280431	0.380511524579333	7439.554933064933700	F#CJ66MP				<EMPTY>					
Z(CJIRQB_BINTG_00001_I65346	3.500796639790073	-46.755112179480477	258.336177756818870	Z(CJISDX				<EMPTY>					
Z(CJISFA_BINTG_00001_I65346	8.938139614239827	22.002157280803658	8578.992823583073900	Z2CNDQQ4				<EMPTY>					
Z(CJISYT_BINTG_00001_I65346	8.130877844558714	23.812574789933819	4228.561840040842100	Z(CJITJV				<EMPTY>					
Z(CJISYT_BINTG_00001_I65346	5.176170382624418	-20.199628894608509	-3364.962631339556500	Z(CJITOR				<EMPTY>					
U+CI3006_BINTG_00001_I65346	7.050326480797986	-227.554401069646700	46389.983472127220000	U+CI33WL				<EMPTY>					
F#CJ65QZ_BINTG_00003_I65346	3.590862835853910	-15.085394471435563	20.774734539897111	F#CJ66HC				<EMPTY>					
F#CJ65QZ_BINTG_00003_I65346	6.584279568278160	0.120127522631094	2479.857345659068000	F#CJ66MO				<EMPTY>					
Z(CJIRQB_BINTG_00003_I65346	3.500802760163918	-15.591670596203770	86.104189528590126	Z(CJISDW				<EMPTY>					
Z(CJISFA_BINTG_00003_I65346	8.938148804730846	7.334099553641863	2859.657997522619600	Z2CNDQQ3				<EMPTY>					
Z(CJISYT_BINTG_00003_I65346	8.130877916205495	7.937488997657795	1409.520585376436400	Z(CJITJU				<EMPTY>					
Z(CJISYT_BINTG_00003_I65346	5.176170321295379	-6.733233415131679	-1121.654166719801700	Z(CJITOQ				<EMPTY>					
F#CJ67F3_BINTG_00001_I65346	8.732470545389518	20.075188819319010	4808.690028555807700	F#CJ67X9				<EMPTY>					
U+CI3019_BINTG_00001_I65346	5.520995386791924	-27.207476378185675	-6372.171321353060200	U+CI33WZ				<EMPTY>					
F#CJ67F3_BINTG_00003_I65346	8.732470472943298	6.691701371626664	1602.896696723897500	F#CJ67XA				<EMPTY>					
U+CI302C_BINTG_00001_I65346	8.804773472934715	-5.814985800461727	-5204.424202940557700	FCCIRIV6				<EMPTY>					
U+CI302C_BINTG_00003_I65346	8.804773473150608	-1.948291043565405	-1734.801402148612400	FCCIRIV7				<EMPTY>					
U+CI303F_BINTG_00001_I65346	11.245295902291573	3.993128524161875	6719.832430962771500	FCCIRJEY				<EMPTY>					
U+CI303F_BINTG_00003_I65346	11.216641998923791	0.791799103504673	2244.083267284837300	FCCIRJEZ				<EMPTY>					
U+CI304I_BINTG_00001_I65346	7.229118529016559	-8.698487685847795	-4674.803950038811300	FCCIRJVT				<EMPTY>					
U+CI304I_BINTG_00003_I65346	7.229118529855338	-2.902829816666781	-1558.264686312861200	FCCIRJVU				<EMPTY>					
U+CI305L_BINTG_00001_I65346	6.913850852549072	90.242282922234153	4539.702885333856100	FCCIRKHU				<EMPTY>					
U+CI305L_BINTG_00003_I65346	6.913841454689504	30.083180635192548	1513.173011954815600	FCCIRKHT				<EMPTY>					
U=CUBS3R_BINTG_00001_I65346				U=CUBS73			No lines in the facility	<EMPTY>					
U=CUBT17_BINTG_00001_I65346				F7CUBUJB			No lines in the facility	<EMPTY>					
G!CHA0UR_BINTG_00001_I65346	8.677188891421519	-339.552455927507250	4934.644004408939500	GZCHBANE				<EMPTY>					
V*CHA02K_BINTG_00001_I65346	8.677188891421519	-339.552455927507250	4934.644004408939500	GZCHBAJO				<EMPTY>					
V*CH9ZMB_BINTG_00001_I65346	8.670869831692704	3.129779351351317	4313.639279419032400	GZCHBART				<EMPTY>					
V*CH9ZNJ_BINTG_00001_I65346	8.770266947308571	198.590360752306880	2097.283746393441100	ACCHBR61				<EMPTY>					
V*CH9ZNJ_BINTG_00001_I65346	8.893353966707364	189.543224892579020	440586.201189497540000	*NCHBHH9				<EMPTY>					
V*CH9ZNJ_BINTG_00001_I65346	8.513878805760232	3.510192147456110	3932.501459153456400	!KCHD9PD				<EMPTY>					
V*CH9ZNJ_BINTG_00001_I65346	8.509629881183569	1.385407901369035	-1006.641148941504100	V*CH9ZRI				<EMPTY>					
V*CH9ZOZ_BINTG_00001_I65346				*7CHBGJI			No lines in the facility	<EMPTY>					
V*CH9ZOZ_BINTG_00003_I65346				*7CHBGJJ			No lines in the facility	<EMPTY>					
X.CW15SQ_BINTG_00001_I65346	6.253579456720623	-67.528638896343182	-8581.282172193081400	X.CW164V				<EMPTY>					
X.CW15O3_BINTG_00001_I65346	6.471773470611374	28.397698001193930	8609.363216262980100	X.CW1691				<EMPTY>					
X.CW15O3_BINTG_00001_I65346	6.253579456720623	-25.093400456753443	-8623.721854507253700	X.CW16E0				<EMPTY>					
X.CW15O3_BINTG_00001_I65346	6.471773470611374	28.397698001193930	8609.363216262980100	X.CW16IB				<EMPTY>					
X.CW15O3_BINTG_00001_I65346	6.471773470611374	28.397698001193930	8609.363216262980100	X.CW15QT				<EMPTY>					
X.CW2JBZ_BINTG_00001_I65346	8.002380598450062	-114.154329089855310	15801.333605336622000	X.CW2JPP				<EMPTY>					
X.CW2IQY_BINTG_00001_I65346	8.002380598450062	-114.154329089855310	15801.333605336622000	X.CW2JYY				<EMPTY>					
X.CW2IQY_BINTG_00001_I65346	8.002380598450062	-114.154329089855310	15801.333605336622000	X.CW2J5J				<EMPTY>					
X.CW2JZW_BINTG_00001_I65346	8.189721806185624	-73.860275465063751	-6218.787932984167100	X.CW2KD3				<EMPTY>					
X.CW2ISC_BINTG_00001_I65346	8.189868491220773	-73.824618165381253	-6216.680584740461200	X.CW2KI5				<EMPTY>					
X.CW2ISC_BINTG_00001_I65346	8.232889296117724	-66.296022489666939	-5590.657926492960500	X.CW2J5M				<EMPTY>					
